ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS
5008839,M,N,Y,1,405000,Commercial associate,Higher education,Married,House / apartment,-11842,-2016,1,0,0,0,Managers,3
5008840,M,N,Y,1,405000,Commercial associate,Higher education,Married,House / apartment,-11842,-2016,1,0,0,0,Managers,3
5008841,M,N,Y,1,405000,Commercial associate,Higher education,Married,House / apartment,-11842,-2016,1,0,0,0,Managers,3
5008842,M,N,Y,1,405000,Commercial associate,Higher education,Married,House / apartment,-11842,-2016,1,0,0,0,Managers,3
5008843,M,N,Y,1,405000,Commercial associate,Higher education,Married,House / apartment,-11842,-2016,1,0,0,0,Managers,3
5008844,M,Y,Y,0,112500,Commercial associate,Secondary / secondary special,Married,House / apartment,-20502,-4450,1,0,1,0,Drivers,2
5008846,M,Y,Y,0,112500,Commercial associate,Secondary / secondary special,Married,House / apartment,-20502,-4450,1,0,1,0,Drivers,2
5008847,M,Y,Y,0,112500,Commercial associate,Secondary / secondary special,Married,House / apartment,-20502,-4450,1,0,1,0,Drivers,2
5008849,M,Y,Y,0,112500,Commercial associate,Secondary / secondary special,Married,House / apartment,-20502,-4450,1,0,1,0,Drivers,2
5008850,M,Y,Y,0,112500,Commercial associate,Secondary / secondary special,Married,House / apartment,-20502,-4450,1,0,1,0,Drivers,2
5008851,M,Y,Y,0,112500,Commercial associate,Secondary / secondary special,Married,House / apartment,-20502,-4450,1,0,1,0,Drivers,2
5008852,M,Y,Y,0,112500,Commercial associate,Secondary / secondary special,Married,House / apartment,-20502,-4450,1,0,1,0,Drivers,2
5008853,M,Y,Y,0,112500,Commercial associate,Secondary / secondary special,Married,House / apartment,-20502,-4450,1,0,1,0,Drivers,2
6153733,M,Y,Y,0,112500,Commercial associate,Secondary / secondary special,Married,House / apartment,-20502,-4450,1,0,1,0,Drivers,2
6153734,M,Y,Y,0,112500,Commercial associate,Secondary / secondary special,Married,House / apartment,-20502,-4450,1,0,1,0,Drivers,2
6153735,M,Y,Y,0,112500,Commercial associate,Secondary / secondary special,Married,House / apartment,-20502,-4450,1,0,1,0,Drivers,2
5008854,F,Y,Y,2,135000,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,1,0,0,0,Laborers,4
5008855,F,Y,Y,2,135000,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,1,0,0,0,Laborers,4
5008856,F,Y,Y,2,135000,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,1,0,0,0,Laborers,4
5008857,F,Y,Y,2,135000,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,1,0,0,0,Laborers,4
5008858,F,Y,Y,2,135000,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,1,0,0,0,Laborers,4
5008859,F,Y,Y,2,135000,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,1,0,0,0,Laborers,4
5008860,F,Y,Y,2,135000,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,1,0,0,0,Laborers,4
5008861,F,Y,Y,2,135000,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,1,0,0,0,Laborers,4
5008862,F,Y,Y,2,135000,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,1,0,0,0,Laborers,4
5008863,F,Y,Y,2,135000,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,1,0,0,0,Laborers,4
5008864,F,Y,Y,2,135000,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,1,0,0,0,Laborers,4
5008865,F,Y,Y,2,135000,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,1,0,0,0,Laborers,4
5008866,F,Y,Y,2,135000,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,1,0,0,0,Laborers,4
5008867,F,Y,Y,2,135000,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,1,0,0,0,Laborers,4
5112846,F,Y,Y,2,135000,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,1,0,0,0,Laborers,4
6153736,F,Y,Y,2,135000,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,1,0,0,0,Laborers,4
5008868,F,N,Y,1,211500,State servant,Secondary / secondary special,Civil marriage,House / apartment,-16212,-7099,1,0,0,0,Core staff,3
5008870,F,N,Y,1,211500,State servant,Secondary / secondary special,Civil marriage,House / apartment,-16212,-7099,1,0,0,0,Core staff,3
5008872,M,Y,Y,0,360000,Commercial associate,Secondary / secondary special,Married,House / apartment,-16670,-5364,1,0,1,0,Security staff,2
6153737,M,Y,Y,0,360000,Commercial associate,Secondary / secondary special,Married,House / apartment,-16670,-5364,1,0,1,0,Security staff,2
5008873,F,N,Y,2,126000,Commercial associate,Higher education,Married,House / apartment,-12411,-1773,1,0,0,1,Managers,4
5008874,F,N,Y,2,126000,Commercial associate,Higher education,Married,House / apartment,-12411,-1773,1,0,0,1,Managers,4
5008875,F,N,Y,2,126000,Commercial associate,Higher education,Married,House / apartment,-12411,-1773,1,0,0,1,Managers,4
5008876,F,N,Y,2,126000,Commercial associate,Higher education,Married,House / apartment,-12411,-1773,1,0,0,1,Managers,4
5008877,F,N,Y,2,126000,Commercial associate,Higher education,Married,House / apartment,-12411,-1773,1,0,0,1,Managers,4
5008878,F,N,Y,2,126000,Commercial associate,Higher education,Married,House / apartment,-12411,-1773,1,0,0,1,Managers,4
5008879,F,N,Y,2,126000,Commercial associate,Higher education,Married,House / apartment,-12411,-1773,1,0,0,1,Managers,4
5008880,F,N,Y,2,126000,Commercial associate,Higher education,Married,House / apartment,-12411,-1773,1,0,0,1,Managers,4
